year,price,origin,destination,distance
"Jun
2021",643.4,BOS,SAN,2588
"Jun
2021",428.38,BOS,SAN,2588
"Jul
2021",643.4,BOS,SAN,2588
"Jul
2021",567.41,BOS,SAN,2588
"Aug
2021",846.8,BOS,SAN,2588
"Aug
2021",699.61,BOS,SAN,2588
"Sep
2021",423.4,BOS,SAN,2588
"Oct
2021",379.64,BOS,SAN,2588
year,price,origin,destination,distance
"Nov
2020",205.16,BOS,SEA,2496
"Nov
2020",174.07,BOS,SEA,2496
"Dec
2020",314.7,BOS,SEA,2496
"Jan
2021",491.68,BOS,SEA,2496
"Jan
2021",439.85,BOS,SEA,2496
"Jan
2021",171.16,BOS,SEA,2496
"Feb
2021",320.7,BOS,SEA,2496
"Mar
2021",294.4,BOS,SEA,2496
"Mar
2021",280.38,BOS,SEA,2496
"Apr
2021",269.8,BOS,SEA,2496
"May
2021",208.16,BOS,SEA,2496
"May
2021",269.8,BOS,SEA,2496
"May
2021",256.81,BOS,SEA,2496
"Jun
2021",466.8,BOS,SEA,2496
"Jul
2021",428.38,BOS,SEA,2496
"Jul
2021",362.41,BOS,SEA,2496
"Aug
2021",542.39,BOS,SEA,2496
"Sep
2021",204.42,BOS,SEA,2496
"Sep
2021",379.58,BOS,SEA,2496
"Oct
2021",389.4,BOS,SEA,2496
year,price,origin,destination,distance
"Nov
2020",247.2,BOS,SFO,2704
"Nov
2020",257.2,BOS,SFO,2704
"Nov
2020",257.2,BOS,SFO,2704
"Nov
2020",268.2,BOS,SFO,2704
"Dec
2020",261.7,BOS,SFO,2704
"Dec
2020",243.7,BOS,SFO,2704
"Dec
2020",396.2,BOS,SFO,2704
"Dec
2020",489.2,BOS,SFO,2704
"Jan
2021",342.7,BOS,SFO,2704
"Jan
2021",393.7,BOS,SFO,2704
"Jan
2021",387.2,BOS,SFO,2704
"Feb
2021",444.35,BOS,SFO,2704
"Feb
2021",456.39,BOS,SFO,2704
"Feb
2021",405.6,BOS,SFO,2704
"Mar
2021",905.99,BOS,SFO,2704
"Mar
2021",450.29,BOS,SFO,2704
"Mar
2021",309.61,BOS,SFO,2704
"Apr
2021",289.41,BOS,SFO,2704
"Apr
2021",726,BOS,SFO,2704
"Apr
2021",256.8,BOS,SFO,2704
"May
2021",418,BOS,SFO,2704
"May
2021",412.98,BOS,SFO,2704
"May
2021",360.41,BOS,SFO,2704
"Jun
2021",805.01,BOS,SFO,2704
"Jun
2021",599.4,BOS,SFO,2704
"Jul
2021",417.4,BOS,SFO,2704
"Jul
2021",424.39,BOS,SFO,2704
"Aug
2021",606.4,BOS,SFO,2704
"Aug
2021",636.4,BOS,SFO,2704
"Sep
2021",237.79,BOS,SFO,2704
year,price,origin,destination,distance
"Apr
2021",306.9,BOS,SLC,2105
"May
2021",276.91,BOS,SLC,2105
"May
2021",445.9,BOS,SLC,2105
"Jun
2021",457.89,BOS,SLC,2105
"Jun
2021",584.1,BOS,SLC,2105
"Jul
2021",725.51,BOS,SLC,2105
"Jul
2021",794.9,BOS,SLC,2105
"Jul
2021",818.91,BOS,SLC,2105
"Aug
2021",480.9,BOS,SLC,2105
"Aug
2021",557.91,BOS,SLC,2105
"Sep
2021",728.89,BOS,SLC,2105
"Sep
2021",464.89,BOS,SLC,2105
year,price,origin,destination,distance
"Nov
2020",497,BOS,STL,1047
"Nov
2020",518,BOS,STL,1047
"Nov
2020",535,BOS,STL,1047
"Dec
2020",523,BOS,STL,1047
"Dec
2020",535,BOS,STL,1047
"Dec
2020",523,BOS,STL,1047
"Jan
2021",951.2,BOS,STL,1047
